org_id,name,org_type,org_type_code,source_dataset,source_url
XI-IATI-FR-3,Agence Francaise de Developpement,Other Public Sector,15,afd-org,https://static.data.gouv.fr/resources/gouvernance-politiques-et-strategies-de-lafd/20210325-172211/afd-organisation-file-2021-03-25.xml
46002,African Development Bank Group,Multilateral,40,afdb-org,https://www.afdb.org/sites/default/files/iati/iatiorganisationdata.xml
FR-SIRET-31827645800037,Agriculteurs français et développement international,International NGO,21,afdi-fr-org,http://rsr.akvo.org/organisation/5280/iati-org/
KE-KRA-P051713416W,Association for Faculty Enrichment in Learning and Teaching,"Academic, Training and Research",80,afelt-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/afelt-org.xml
KE-KRA-P051335339D,African institute for development polciy,International NGO,21,afidep-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/afidep-org.xml
BE-BCE_KBO-0474198059,AFRICALIA,Other Public Sector,15,africalia-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/africalia-org.xml
GB-CHC-1141028,AfriKids,International NGO,21,afrikids-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/afrikids-org.xml
GB-CHC-1128267-8,Age International UK (HelpAge International UK),National NGO,22,ageintl-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ageintl-org.xml
US-EIN-98-0513530,Alliance for a Green Revolution in Africa,International NGO,21,agra-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/agra-org.xml
XI-IATI-AGR,AgResults,Multilateral,40,agresults-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/agresults-org.xml
NL-KVK-72908114,AGRI3 Fund,Public Private Partnership,30,agri3_fund-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/agri3_fund-org.xml
NL-KVK-41048542,Stichting Agriterra,Private Sector in Aid Recipient Country,72,agriterra-org,https://www.agriterra.org/upload_directory/files/organisation_agriterra_20180820.xml
NG-CAC-692943,Academy for Health Development LTD/GTE,National NGO,22,ahead-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ahead-org.xml
GB-CHC-1064413,African Initiatives,International NGO,21,ai_1064413-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ai_1064413-org.xml
XM-DAC-6-4,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo,Government,10,aics-org,http://openaid.aics.gov.it/iati/aics-org.xml
US-EIN-32-0060251,AIDSPAN,International NGO,21,aidspan-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aidspan-org.xml
UG-NGB-3329,Auschwitz Institute for the Prevention of Genocide and Mass Atrocities,International NGO,21,aipr-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aipr-org.xml
AF-MOE-138,Aga Khan Foundation Afghanistan,International NGO,21,akf_afghanistan-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/akf_afghanistan-org.xml
GB-COH-1100897,Aga Khan Foundation (United Kingdom),International NGO,21,akfuk73-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/akfuk73-org.xml
BJ-IFU-6201001843703,Commune de Akpro-missrété Bénin,Government,10,akpro-misserete-org,https://rsr.akvo.org/organisation/4642/iati-org/
GB-COH-08327972,AKTIS STRATEGY LTD,Private Sector,70,aktis-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/aktis-org.xml
NL-KVK-27327087,Akvo Foundation,International NGO,21,akvo-1,http://rsr.akvo.org/organisation/42/iati-org/
BJ-IFU-6201200599008,"Association de Lutte Contre le Racisme, l'Ethnocentrisme et le Régionalisme",National NGO,22,alcrer-1-org,https://rsr.akvo.org/organisation/4538/iati-org/
BJ-IFU-6201501755307,Commune de Allada Benin,Government,10,allada-org,https://rsr.akvo.org/organisation/4647/iati-org/
GB-CHC-1047608,Alliance of Religions and Conservation,International NGO,21,alliance_of_religions_and_conservation-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/alliance_of_religions_and_conservation-org.xml
ET-MFA-0001989741,Amref Health Africa in Ethiopia,International NGO,21,amrefeth-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/amrefeth-org.xml
GB-CHC-261488,Amref Health Africa - UK,International NGO,21,amrefha-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/amrefha-org.xml
KE-RCO-C1-61,Amref Health Africa Headquarters,International NGO,21,amrefhq-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/amrefhq-org.xml
KE-NCB-93175,Amref Health Africa in Kenya,National NGO,22,amrefkenya-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/amrefkenya-org.xml
MW-NBM-R1527,Amref Health Africa in Malawi,National NGO,22,amrefmw-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/amrefmw-org.xml
NL-KVK-41150298,Amref Flying Doctors,International NGO,21,amrefnl-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/amrefnl-org.xml
UG-NGB-5914-252,Amref Health Africa Uganda,National NGO,22,amrefug-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/amrefug-org.xml
KE-NCB-OP21805193101154,Ananda Marga Universal Relief Team ,National NGO,22,amurt_kenya-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/amurt_kenya-org.xml
bj-IFU-4201710182326,Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural,Government,10,anaepmr_benin-org,https://rsr.akvo.org/organisation/4985/iati-org/
BJ-IFU-4201710012551,Commune de Dangbo Benin,Other Public Sector,15,ancb_benin-com_dangbo-org,https://rsr.akvo.org/organisation/4646/iati-org/
BJ-IFU-6201408024805,Association Nationale des Communes du Bénin,National NGO,22,ancb_benin-org,https://rsr.akvo.org/organisation/3654/iati-org/
US-EIN-943287156,Association for Progressive Communication,International NGO,21,apc-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/apc-org.xml
BJ-IFU-6201001076902,Commune de Aplahoué Benin,Government,10,aplahoue-org,https://rsr.akvo.org/organisation/4653/iati-org/
AF-MOE-1212,Afghanistan Public Policy Research Organization (APPRO),"Academic, Training and Research",80,appro-af-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/appro-af-org.xml
BE-GTCF-630789842,APPRO-Europe,"Academic, Training and Research",80,appro-eu-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/appro-eu-org.xml
GB-CHC-290836,APT Action on Poverty,International NGO,21,apt-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/apt-org.xml
LB-MOI-497,ABAAD- Resource Center for Gender Equality,National NGO,22,arcfge-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/arcfge-org.xml
BE-BCE_KBO-0546740696,ARES,"Academic, Training and Research",80,ares-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ares-org.xml
NG-CAC-5938,Association for Reproductive and Family Health,National NGO,22,arfh-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/arfh-org.xml
JO-CCD-50544,Arab Reporters for Investigative Journalism,"Academic, Training and Research",80,arij-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/arij-org.xml
GB-CHC-327421,Article 19,International NGO,21,art19-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/art19-org.xml
ML-NIF-086108989R,Association de Soutien au Développement des Activités de Population,National NGO,22,asdap-org,https://rsr.akvo.org/organisation/5844/iati-org/
XM-DAC-46004,Asian Development Bank,Multilateral,40,asdb-org,http://www.adb.org/iati/adb-org.xml
BE-BCE_KBO-0447404580,Avocats Sans Frontières,National NGO,22,asf-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/asf-org.xml
KE-NCB-OP.218/051/2008/095/5572,Ashoka East Africa,International NGO,21,ashoka-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ashoka-org.xml
GB-COH-2732176,Adam Smith International Limited,Private Sector,70,asi-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/asi-org.xml
GB-CHC-1049160,Anti-Slavery International,International NGO,21,asil-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/asil-org.xml
NP-SWC-8220,Aapasi Sahayog Kendra Syangja Nepal (ASK Nepal),Partner Country based NGO,24,ask-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ask-org.xml
NL-KVK-34185938,Access to Medicine Foundation,Foundation,60,atmf-org,https://accesstomedicinefoundation.org/media/uploads/files/20200415ATMForgXmlFile.xml
NL-KVK-58279199,Access to Nutrition Foundation,International NGO,21,atnf-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/atnf-org.xml
GB-COH-01245534,Atos IT Services Ltd.,Private Sector,70,atosuk-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/atosuk-org.xml
AU-5,Australian Aid,Government,10,ausgov-orgfile,https://www.dfat.gov.au/sites/default/files/ausgov-organisation-file.xml
BI-NIF-4000742330,AUXFIN Burundi SURL,Private Sector,70,auxfinbi-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/auxfinbi-org.xml
GB-COH-06133927,Avanti Communications Limited,Private Sector,70,ava_admin-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/ava_admin-org.xml
